iter	Passed	Remaining
191	4075	17151
192	4096	17128
193	4119	17115
194	4143	17104
195	4164	17084
196	4186	17064
197	4209	17049
198	4231	17033
199	4253	17013
200	4273	16988
201	4293	16962
202	4304	16901
203	4315	16838
204	4336	16818
205	4359	16802
206	4381	16785
207	4392	16726
208	4415	16710
209	4437	16692
210	4461	16682
211	4487	16680
212	4516	16686
213	4526	16624
214	4548	16605
215	4557	16542
216	4579	16524
217	4602	16509
218	4618	16472
219	4640	16453
220	4664	16441
221	4674	16381
222	4698	16372
223	4716	16339
224	4740	16330
225	4772	16343
226	4811	16385
227	4830	16355
228	4866	16385
229	4892	16380
230	4944	16459
231	4966	16439
232	4988	16420
233	5010	16400
234	5021	16345
235	5049	16347
236	5075	16339
237	5092	16303
238	5109	16269
239	5130	16246
240	5153	16230
241	5181	16229
242	5205	16217
243	5230	16207
244	5254	16191
245	5265	16137
246	5278	16091
247	5298	16067
248	5307	16006
249	5326	15980
250	5345	15949
251	5366	15928
252	5380	15887
253	5402	15868
254	5423	15845
255	5444	15823
256	5453	15767
257	5472	15738
258	5493	15716
259	5512	15690
260	5533	15668
261	5554	15646
262	5565	15596
263	5586	15573
264	5594	15516
265	5614	15493
266	5634	15469
267	5655	15446
268	5680	15436
269	5697	15404
270	5718	15382
271	5738	15359
272	5759	15337
273	5782	15321
274	5803	15299
275	5817	15260
276	5825	15204
277	5846	15184
278	5868	15165
279	5891	15149
280	5916	15139
281	5923	15081
282	5943	15058
283	5963	15035
284	5984	15014
285	6003	14988
286	6019	14955
287	6039	14931
288	6059	14906
289	6070	14861
290	6089	14836
291	6095	14778
292	6102	14725
293	6122	14702
294	6144	14684
295	6164	14661
296	6185	14640
297	6204	14615
298	6224	14593
299	6232	14542
300	6240	14491
301	6259	14467
302	6270	14424
303	6291	14405
304	6311	14382
305	6331	14358
306	6350	14334
307	6372	14316
308	6392	14294
309	6412	14272
310	6432	14249
311	6453	14230
312	6474	14211
313	6503	14208
314	6512	14162
315	6521	14117
316	6531	14073
317	6552	14053
318	6574	14034
319	6579	13980
320	6587	13933
321	6603	13904
322	6612	13859
323	6636	13846
324	6646	13803
325	6654	13758
326	6676	13741
327	6697	13721
328	6716	13698
329	6737	13679
330	6757	13657
331	6780	13641
332	6800	13621
333	6820	13600
334	6840	13578
335	6861	13558
336	6872	13520
337	6892	13498
338	6911	13477
339	6933	13458
340	6941	13414
341	6958	13387
342	6980	13371
343	6986	13323
344	7005	13300
345	7016	13263
346	7037	13243
347	7060	13228
348	7072	13191
349	7085	13159
350	7107	13141
351	7130	13126
352	7151	13107
353	7173	13090
354	7201	13084
355	7212	13047
356	7239	13038
357	7267	13033
358	7291	13019
359	7313	13000
360	7335	12984
361	7345	12945
362	7368	12929
363	7387	12908
364	7416	12903
365	7460	12922
366	7487	12914
367	7510	12898
368	7535	12886
369	7567	12884
370	7577	12847
371	7595	12823
372	7619	12807
373	7685	12864
374	7729	12881
375	7760	12879
376	7790	12874
377	7819	12866
378	7847	12857
379	7870	12842
380	7895	12827
381	7919	12811
382	7944	12798
383	7971	12786
384	7997	12775
385	8025	12765
386	8051	12752
387	8078	12742
388	8106	12732
389	8128	12713
390	8150	12694
391	8171	12673
392	8190	12650
393	8211	12629
394	8234	12611
395	8259	12598
396	8282	12580
397	8299	12553
398	8329	12546
399	8355	12533
400	8385	12525
401	8410	12510
402	8429	12487
403	8450	12466
